accession	organism specise	kmerfinder(Com)	kmerfinder(Type)	fIDBAC	ANI(%)
GCA_000024325.1	Desulfohalobium retbaense	Desulfohalobium retbaense	Desulfohalobium retbaense	Desulfohalobium retbaense	100
GCA_000024345.1	Kribbella flavida	Kribbella flavida	Kribbella flavida	Kribbella flavida	100
GCA_000024365.1	Nakamurella multipartita	Nakamurella multipartita	Nakamurella multipartita	Nakamurella multipartita	100
GCA_000024385.1	Thermomonospora curvata	Thermomonospora curvata	Thermomonospora curvata	Thermomonospora curvata	100
GCA_000024405.1	Sebaldella termitidis	Sebaldella termitidis	Sebaldella termitidis	Sebaldella termitidis	100
GCA_000024425.1	Meiothermus ruber	Meiothermus ruber	Meiothermus ruber	Meiothermus ruber	100
GCA_000024525.1	Spirosoma linguale	Spirosoma pollinicola	Spirosoma pollinicola	Spirosoma linguale	100
GCA_000024545.1	Stackebrandtia nassauensis	Stackebrandtia nassauensis	Stackebrandtia nassauensis	Stackebrandtia nassauensis	100
GCA_000024565.1	Streptobacillus moniliformis	Streptobacillus moniliformis	Streptobacillus moniliformis	Streptobacillus moniliformis	100
GCA_000024785.1	Gordonia bronchialis	Gordonia bronchialis	Gordonia bronchialis	Gordonia bronchialis	100
GCA_000024805.1	Haliangium ochraceum	Haliangium ochraceum	Haliangium ochraceum	Haliangium ochraceum	100
GCA_000024845.1	Rhodothermus marinus	Rhodothermus marinus	Rhodothermus marinus	Rhodothermus marinus	100
GCA_000024865.1	Streptosporangium roseum	Streptosporangium roseum	Streptosporangium roseum	Streptosporangium roseum	100
GCA_000024885.1	Sulfurospirillum deleyianum	Sulfurospirillum deleyianum	Sulfurospirillum deleyianum	Sulfurospirillum deleyianum	100
GCA_000024905.1	Thermanaerovibrio acidaminovorans	Thermanaerovibrio acidaminovorans	Thermanaerovibrio acidaminovorans	Thermanaerovibrio acidaminovorans	100
GCA_000024925.1	Sanguibacter keddieii	Sanguibacter keddieii	Sanguibacter keddieii	Sanguibacter keddieii	100
GCA_000024945.1	Veillonella parvula	Veillonella parvula	Veillonella parvula	Veillonella parvula	100
GCA_000024965.1	Xylanimonas cellulosilytica	Xylanimonas cellulosilytica	Xylanimonas cellulosilytica	Xylanimonas cellulosilytica	100
GCA_000024985.1	Sphaerobacter thermophilus	Sphaerobacter thermophilus	Sphaerobacter thermophilus	Sphaerobacter thermophilus	100
GCA_000025005.1	Thermobaculum terrenum	Thermobaculum terrenum	Thermobaculum terrenum	Thermobaculum terrenum	100
GCA_000025185.1	Pirellula staleyi	Pirellula staleyi	Pirellula staleyi	Pirellula staleyi	100
GCA_000025265.1	Conexibacter woesei	Conexibacter woesei	--	Conexibacter woesei	100
GCA_000025305.1	Acidaminococcus fermentans	Acidaminococcus fermentans	Acidaminococcus fermentans	Acidaminococcus fermentans	100
GCA_000025345.1	Geodermatophilus obscurus	Geodermatophilus obscurus	Geodermatophilus obscurus	Geodermatophilus obscurus	100
GCA_000025605.1	Thermocrinis albus	Thermocrinis albus	Thermocrinis albus	Thermocrinis albus	100
GCA_000025725.1	Denitrovibrio acetiphilus	Denitrovibrio acetiphilus	Denitrovibrio acetiphilus	Denitrovibrio acetiphilus	100
GCA_000025885.1	Aminobacterium colombiense	Aminobacterium colombiense	Aminobacterium colombiense	Aminobacterium colombiense	100
GCA_000025905.1	Coraliomargarita akajimensis	Coraliomargarita akajimensis	Coraliomargarita akajimensis	Coraliomargarita akajimensis	100
GCA_000092105.1	Planctopirus limnophila	Planctopirus limnophila	Planctopirus limnophila	Planctopirus limnophila	100
GCA_000092125.1	Meiothermus silvanus	Meiothermus silvanus	Meiothermus silvanus	Meiothermus silvanus	100
GCA_000092225.1	Tsukamurella paurometabola	Tsukamurella paurometabola	Tsukamurella paurometabola	Tsukamurella paurometabola	100
GCA_000092245.1	Arcobacter nitrofigilis	Arcobacter nitrofigilis	Arcobacter nitrofigilis	Arcobacter nitrofigilis	100
GCA_000092365.1	Arcanobacterium haemolyticum	Arcanobacterium haemolyticum	Arcanobacterium haemolyticum	Arcanobacterium haemolyticum	100
GCA_000092405.1	Syntrophothermus lipocalidus	Syntrophothermus lipocalidus	Syntrophothermus lipocalidus	Syntrophothermus lipocalidus	100
GCA_000092425.1	Truepera radiovictrix	Truepera radiovictrix	Truepera radiovictrix	Truepera radiovictrix	100
GCA_000092645.1	Thermobispora bispora	Thermobispora bispora	Thermobispora bispora	Thermobispora bispora	100
GCA_000092825.1	Segniliparus rotundus	Segniliparus rotundus	Segniliparus rotundus	Segniliparus rotundus	100
GCA_000092845.1	Brachyspira murdochii	Brachyspira murdochii	Brachyspira murdochii	Brachyspira murdochii	100
GCA_000092865.1	Cellulomonas flavigena	Cellulomonas flavigena	Cellulomonas flavigena	Cellulomonas flavigena	100
GCA_000092905.1	Kyrpidia tusciae	Kyrpidia tusciae	Kyrpidia tusciae	Kyrpidia tusciae	100
GCA_000092985.1	Nocardiopsis dassonvillei	Nocardiopsis dassonvillei	Nocardiopsis dassonvillei	Nocardiopsis dassonvillei	100
GCA_000143845.1	Olsenella uli	Olsenella uli	Olsenella uli	Olsenella uli	100
GCA_000143965.1	Desulfarculus baarsii	Desulfarculus baarsii	Desulfarculus baarsii	Desulfarculus baarsii	100
GCA_000143985.1	Sediminispirochaeta smaragdinae	Sediminispirochaeta smaragdinae	Sediminispirochaeta smaragdinae	Sediminispirochaeta smaragdinae	100
GCA_000144645.1	Thermosediminibacter oceani	Thermosediminibacter oceani	Thermosediminibacter oceani	Thermosediminibacter oceani	100
GCA_000144695.1	Acetohalobium arabaticum	Acetohalobium arabaticum	Acetohalobium arabaticum	Acetohalobium arabaticum	100
GCA_000147355.1	Sulfurimonas autotrophica	Sulfurimonas autotrophica	Sulfurimonas autotrophica	Sulfurimonas autotrophica	100
GCA_000148645.1	Ferrimonas balearica	Ferrimonas balearica	Ferrimonas balearica	Ferrimonas balearica	100
GCA_000164905.1	Hydrogenobacter thermophilus	Hydrogenobacter thermophilus	Hydrogenobacter thermophilus	Hydrogenobacter thermophilus	100
GCA_000165465.1	Halanaerobium praevalens	Halanaerobium praevalens	Halanaerobium praevalens	Halanaerobium praevalens	100
GCA_000165505.1	Ilyobacter polytropus	Ilyobacter polytropus	Ilyobacter polytropus	Ilyobacter polytropus	100
GCA_000165715.3	Rubinisphaera brasiliensis	Rubinisphaera brasiliensis	Rubinisphaera brasiliensis	Rubinisphaera brasiliensis	100
GCA_000165795.1	Aminomonas paucivorans	Thermanaerovibrio acidaminovorans	Aminomonas paucivorans	Aminomonas paucivorans	100
GCA_000166195.3	Mucilaginibacter paludis	--	Mucilaginibacter paludis	Mucilaginibacter paludis	100
GCA_000166395.1	Leadbetterella byssophila	Leadbetterella byssophila	Leadbetterella byssophila	Leadbetterella byssophila	100
GCA_000172975.1	Dethiosulfovibrio peptidovorans	--	Dethiosulfovibrio peptidovorans	Dethiosulfovibrio peptidovorans	100
GCA_000178855.1	Ktedonobacter racemifer	--	Ktedonobacter racemifer	Ktedonobacter racemifer	100
GCA_000183135.1	Paludibacter propionicigenes	Paludibacter propionicigenes	Paludibacter propionicigenes	Paludibacter propionicigenes	100
GCA_000183155.1	Riemerella anatipestifer	Riemerella anatipestifer	Riemerella anatipestifer	Riemerella anatipestifer	100
GCA_000183405.1	Calditerrivibrio nitroreducens	Calditerrivibrio nitroreducens	Calditerrivibrio nitroreducens	Calditerrivibrio nitroreducens	100
GCA_000183425.1	Marivirga tractuosa	Marivirga tractuosa	Marivirga tractuosa	Marivirga tractuosa	100
GCA_000183545.3	Thermaerobacter subterraneus	Thermaerobacter sp.	Thermaerobacter subterraneus	Thermaerobacter subterraneus	100
GCA_000183725.1	Sulfuricurvum kujiense	Sulfuricurvum kujiense	Sulfuricurvum kujiense	Sulfuricurvum kujiense	100
GCA_000183745.1	Oceanithermus profundus	Oceanithermus profundus	Oceanithermus profundus	Oceanithermus profundus	100
GCA_000184345.2	Spirochaeta thermophila	Spirochaeta thermophila	Spirochaeta thermophila	Spirochaeta thermophila	100
GCA_000184685.1	Intrasporangium calvum	Intrasporangium calvum	Intrasporangium calvum	Intrasporangium calvum	100
GCA_000184705.1	Thermaerobacter marianensis	Thermaerobacter marianensis	Thermaerobacter marianensis	Thermaerobacter marianensis	100
GCA_000186225.1	Bacteroides helcogenes	Bacteroides helcogenes	Bacteroides helcogenes	Bacteroides helcogenes	100
GCA_000186245.1	Nitratifractor salsuginis	Nitratifractor salsuginis	Nitratifractor salsuginis	Nitratifractor salsuginis	100
GCA_000186265.1	Cellulophaga algicola	Cellulophaga algicola	Cellulophaga algicola	Cellulophaga algicola	100
GCA_000186345.1	Isosphaera pallida	Isosphaera pallida	Isosphaera pallida	Isosphaera pallida	100
GCA_000186385.1	Deinococcus maricopensis	Deinococcus maricopensis	Deinococcus maricopensis	Deinococcus maricopensis	100
GCA_000186885.1	Desulfobulbus propionicus	--	Desulfobulbus elongatus	Desulfobulbus propionicus	100
GCA_000189415.1	Weeksella virosa	Weeksella virosa	Weeksella virosa	Weeksella virosa	100
GCA_000190535.1	Odoribacter splanchnicus	Odoribacter splanchnicus	Odoribacter splanchnicus	Odoribacter splanchnicus	100
GCA_000190555.1	Deinococcus proteolyticus	Deinococcus proteolyticus	Deinococcus proteolyticus	Deinococcus proteolyticus	100
GCA_000190575.1	Bacteroides salanitronis	Bacteroides salanitronis	Bacteroides salanitronis	Phocaeicola salanitronis	100
GCA_000190595.1	Cellulophaga lytica	Cellulophaga lytica	Cellulophaga lytica	Cellulophaga lytica	100
GCA_000190635.1	Syntrophobotulus glycolicus	Syntrophobotulus glycolicus	Syntrophobotulus glycolicus	Syntrophobotulus glycolicus	100
GCA_000190735.2	Pseudopedobacter saltans	Pseudopedobacter saltans	Pseudopedobacter saltans	Pseudopedobacter saltans	100
GCA_000191045.1	Desulfurobacterium thermolithotrophum	Desulfurobacterium thermolithotrophum	Desulfurobacterium thermolithotrophum	Desulfurobacterium thermolithotrophum	100
GCA_000194135.1	Hippea maritima	Hippea maritima	Hippea maritima	Hippea maritima	100
GCA_000194605.1	Fluviicola taffensis	Fluviicola taffensis	Fluviicola taffensis	Fluviicola taffensis	100
GCA_000195275.1	Treponema succinifaciens	Treponema succinifaciens	Treponema succinifaciens	Treponema succinifaciens	100
GCA_000195295.1	Desulfobacca acetoxidans	Desulfobacca acetoxidans	Desulfobacca acetoxidans	Desulfobacca acetoxidans	100
GCA_000195315.1	Coriobacterium glomerans	Coriobacterium glomerans	Coriobacterium glomerans	Coriobacterium glomerans	100
GCA_000195335.1	Marinithermus hydrothermalis	Marinithermus hydrothermalis	Marinithermus hydrothermalis	Marinithermus hydrothermalis	100
GCA_000208385.1	Sphaerochaeta coccoides	Sphaerochaeta coccoides	Sphaerochaeta coccoides	Sphaerochaeta coccoides	100
GCA_000208405.1	Selenomonas sputigena	Selenomonas sputigena	Centipeda periodontii	Selenomonas sputigena	100
GCA_000212375.1	Porphyromonas asaccharolytica	Porphyromonas asaccharolytica	Porphyromonas asaccharolytica	Porphyromonas asaccharolytica	100
GCA_000212395.1	Thermodesulfobium narugense	Thermodesulfobium narugense	Thermodesulfobium narugense	Thermodesulfobium narugense	100
GCA_000212415.1	Treponema brennaborense	Treponema brennaborense	Treponema brennaborense	Treponema brennaborense	100
GCA_000212735.1	Haliscomenobacter hydrossis	Haliscomenobacter hydrossis	Haliscomenobacter hydrossis	Haliscomenobacter hydrossis	100
GCA_000212915.1	Bacteroides coprosuis	--	Bacteroides coprosuis	Bacteroides coprosuis	100
GCA_000213255.1	Mahella australiensis	Mahella australiensis	Mahella australiensis	Mahella australiensis	100
GCA_000217795.1	Thermodesulfatator indicus	Thermodesulfatator indicus	Thermodesulfatator indicus	Thermodesulfatator indicus	100
GCA_000217815.1	Pseudothermotoga thermarum	Pseudothermotoga thermarum	Pseudothermotoga thermarum	Pseudothermotoga thermarum	100
GCA_000218235.1	Prevotella multisaccharivorax	Prevotella denticola	Prevotella multisaccharivorax	Prevotella multisaccharivorax	100
GCA_000218625.1	Flexistipes sinusarabici	Flexistipes sinusarabici	Flexistipes sinusarabici	Flexistipes sinusarabici	100
GCA_000218895.1	Runella slithyformis	Runella sp.	Runella limosa	Runella slithyformis	100
GCA_000219725.1	Treponema caldarium	Treponema caldarium	Treponema caldarium	Treponema caldarium	100
GCA_000222485.1	Cyclobacterium marinum	Cyclobacterium marinum	Cyclobacterium marinum	Cyclobacterium marinum	100
GCA_000224085.1	Muricauda ruestringensis	Muricauda ruestringensis	Muricauda ruestringensis	Muricauda ruestringensis	100
GCA_000233775.1	Thermovirga lienii	Thermovirga lienii	Thermovirga lienii	Thermovirga lienii	100
GCA_000236705.1	Owenweeksia hongkongensis	Owenweeksia hongkongensis	Owenweeksia hongkongensis	Owenweeksia hongkongensis	100
GCA_000237805.1	Jonquetella anthropi	--	Jonquetella anthropi	Jonquetella anthropi	100
GCA_000237825.1	Thermanaerovibrio velox	Thermanaerovibrio acidaminovorans	Thermanaerovibrio velox	Thermanaerovibrio velox	100
GCA_000237975.1	Sulfobacillus acidophilus	--	Alicyclobacillus sacchari	Sulfobacillus acidophilus	100
GCA_000241815.1	Caldithrix abyssi	Caldithrix abyssi	Caldithrix abyssi	Caldithrix abyssi	100
GCA_000242255.3	Frateuria aurantia	Frateuria aurantia	Frateuria aurantia	Frateuria aurantia	100
GCA_000242335.3	Prevotella dentalis	Prevotella dentalis	Prevotella dentalis	Prevotella dentalis	100
GCA_000242455.3	Singulisphaera acidiphila DSM 18658 (bacteria)	Singulisphaera acidiphila	Singulisphaera acidiphila	Paludisphaera borealis	75.6193
GCA_000242595.3	Spirochaeta africana	Spirochaeta africana	Spirochaeta africana	Spirochaeta africana	100
GCA_000242615.3	Holophaga foetida	--	Holophaga foetida	Holophaga foetida	100
GCA_000242635.3	Solitalea canadensis	Solitalea canadensis	Solitalea canadensis	Solitalea canadensis	100
GCA_000243115.3	Niabella soli	Niabella soli	Niabella soli	Niabella soli	100
GCA_000243235.1	Gillisia limnaea	Antarcticibacterium sp.	Gillisia limnaea	Gillisia limnaea	100
GCA_000243275.1	Myroides odoratus	Myroides sp.	Myroides odoratus	Myroides odoratus	100
GCA_000243335.1	Leptonema illini	--	Leptonema illini	Leptonema illini	100
GCA_000246855.1	Niastella koreensis	Niastella koreensis	Niastella koreensis	Niastella koreensis	100
GCA_000255555.2	Treponema saccharophilum	--	Treponema saccharophilum	Treponema saccharophilum	100
GCA_000260115.1	Joostella marina	Zunongwangia profunda	Joostella marina	Joostella marina	100
GCA_000260135.1	Thiothrix nivea	--	Thiothrix nivea	Thiothrix nivea	100
GCA_000262545.1	Prevotella bivia	Prevotella intermedia	Prevotella bivia	Prevotella bivia	100
GCA_000263195.1	Emticicia oligotrophica DSM 17448 (CFB group bacteria)	--	Dyadobacter jiangsuensis	Flectobacillus major	74.1818
GCA_000265365.1	Alistipes finegoldii	Alistipes finegoldii	Alistipes finegoldii	Alistipes finegoldii	100
GCA_000265385.1	Aequorivita sublithincola	Aequorivita sublithincola	Aequorivita sublithincola	Aequorivita sublithincola	100
GCA_000265405.1	Belliella baltica	Belliella baltica	Belliella baltica	Belliella baltica	100
GCA_000265425.1	Terriglobus roseus DSM 18391 (bacteria)	Terriglobus roseus	Terriglobus roseus	Terriglobus saanensis	75.5049
GCA_000265465.1	Ornithobacterium rhinotracheale	Ornithobacterium rhinotracheale	Ornithobacterium rhinotracheale	Ornithobacterium rhinotracheale	100
GCA_000265505.1	Bernardetia litoralis	Bernardetia litoralis	Bernardetia litoralis	Bernardetia litoralis	100
GCA_000266885.1	Turneriella parva	Turneriella parva	Turneriella parva	Turneriella parva	100
GCA_000266925.1	Acetomicrobium mobile	Acetomicrobium mobile	Acetomicrobium mobile	Acetomicrobium mobile	100
GCA_000266945.1	Desulfomonile tiedjei	Desulfomonile tiedjei	Desulfomonile tiedjei	Desulfomonile tiedjei	100
GCA_000275825.1	Saprospira grandis	Saprospira grandis	Lewinella litorea	Saprospira grandis	94.0294
GCA_000281175.1	Caldilinea aerophila	Caldilinea aerophila	Caldilinea aerophila	Caldilinea aerophila	100
GCA_000317835.1	Deinococcus peraridilitoris	Deinococcus peraridilitoris	Deinococcus peraridilitoris	Deinococcus peraridilitoris	100
GCA_000325705.1	Echinicola vietnamensis	Echinicola vietnamensis	Echinicola vietnamensis	Echinicola vietnamensis	100
GCA_000328625.1	Halobacteroides halobius	Halobacteroides halobius	Halobacteroides halobius	Halobacteroides halobius	100
GCA_000364625.1	Pseudomonas thermotolerans	Pseudomonas citronellolis	Pseudomonas humi	Pseudomonas thermotolerans	99.9973
GCA_000365005.1	Limimaricola hongkongensis	Pelagibaca abyssi	Limimaricola hongkongensis	Limimaricola hongkongensis	100
GCA_000365025.1	Robiginitomaculum antarcticum	--	Robiginitomaculum antarcticum	Robiginitomaculum antarcticum	100
GCA_000371785.1	Actinopolyspora halophila	Actinopolyspora erythraea	Actinopolyspora halophila	Actinopolyspora halophila	100
GCA_000371925.1	Thiolinea disciformis	--	Thiolinea disciformis	Thiolinea disciformis	100
GCA_000372065.1	Oligella urethralis	Oligella urethralis	Oligella urethralis	Oligella urethralis	100
GCA_000372085.1	Corynebacterium capitovis	Corynebacterium sanguinis	Corynebacterium capitovis	Corynebacterium capitovis	100
GCA_000372245.1	Corynebacterium doosanense	Corynebacterium doosanense	Corynebacterium doosanense	Corynebacterium doosanense	100
GCA_000372365.1	Aggregatibacter actinomycetemcomitans	Aggregatibacter actinomycetemcomitans	Aggregatibacter actinomycetemcomitans	Aggregatibacter actinomycetemcomitans	100
GCA_000372385.1	Corynebacterium ciconiae	Corynebacterium vitaeruminis	Corynebacterium ciconiae	Corynebacterium ciconiae	100
GCA_000372405.1	Porphyromonas somerae	Prevotella intermedia	Porphyromonas somerae	Porphyromonas somerae	100
GCA_000372425.1	Streptococcus ferus	Streptococcus ferus	Streptococcus ferus	Streptococcus ferus	100
GCA_000372445.1	Corynebacterium ulceribovis	--	Corynebacterium ulceribovis	Corynebacterium ulceribovis	100
GCA_000372465.1	Kribbella catacumbae	Kribbella flavida	Kribbella flavida	Kribbella catacumbae	100
GCA_000372485.1	Oenococcus oeni	Oenococcus oeni	Oenococcus oeni	Oenococcus oeni	100
GCA_000372745.1	Embleya scabrispora	Streptomyces bingchenggensis	Embleya scabrispora	Embleya scabrispora	99.9998
GCA_000373045.1	Leptotrichia shahii	Leptotrichia shahii	Leptotrichia shahii	Leptotrichia shahii	100
GCA_000373065.1	Enterococcus columbae	Enterococcus cecorum	Enterococcus columbae	Enterococcus columbae	99.9985
GCA_000373085.1	Bacteroides massiliensis	Bacteroides vulgatus	Bacteroides massiliensis	Bacteroides massiliensis	99.9989
GCA_000373105.1	Lewinella persica	--	Lewinella persica	Lewinella persica	100
GCA_000373145.1	Thermus oshimai	Thermus oshimai	Thermus oshimai	Thermus oshimai	100
GCA_000373185.1	Prevotella paludivivens	--	Prevotella paludivivens	Prevotella paludivivens	99.9982
GCA_000373205.1	Meiothermus timidus	Meiothermus silvanus	Meiothermus timidus	Meiothermus timidus	99.9997
GCA_000373245.1	Echinicola pacifica	--	Echinicola pacifica	Echinicola pacifica	99.9974
GCA_000373265.1	Pontibacter roseus	Pontibacter sp.	Pontibacter roseus	Pontibacter roseus	100
GCA_000373345.1	Leptotrichia wadei	Leptotrichia wadei	Leptotrichia shahii	Leptotrichia wadei	99.9985
GCA_000373385.1	Thiobacillus thioparus	Thiobacillus denitrificans	Thiobacillus thioparus	Thiobacillus thioparus	100
GCA_000373485.1	Dasania marina	--	Dasania marina	Dasania marina	100
GCA_000373545.1	Alkalispirochaeta alkalica	--	Alkalispirochaeta alkalica	Alkalispirochaeta alkalica	99.9983
GCA_000373605.1	Streptococcus anginosus	Streptococcus anginosus	Streptococcus anginosus	Streptococcus anginosus	99.9974
GCA_000373705.1	Prevotella micans	Prevotella intermedia	Prevotella micans	Prevotella micans	100
GCA_000373725.1	Acinetobacter bouvetii	Acinetobacter sp.	Acinetobacter bouvetii	Acinetobacter bouvetii	100
GCA_000373745.1	Oligella ureolytica	Oligella urethralis	Oligella ureolytica	Oligella ureolytica	100
GCA_000373765.1	Legionella shakespearei	Legionella pneumophila	Legionella shakespearei	Legionella shakespearei	100
GCA_000373785.1	Erysipelothrix tonsillarum	Erysipelothrix rhusiopathiae	Erysipelothrix tonsillarum	Erysipelothrix tonsillarum	100
GCA_000373805.1	Corynebacterium pilosum	Corynebacterium cystitidis	Corynebacterium pilosum	Corynebacterium pilosum	99.9996
GCA_000373925.1	Actinopolymorpha alba	Nocardioides sp.	Actinopolymorpha alba	Actinopolymorpha alba	99.9998
GCA_000373945.1	Endozoicomonas elysicola	--	Endozoicomonas elysicola	Endozoicomonas elysicola	100
GCA_000373965.1	Uliginosibacterium gangwonense	--	Uliginosibacterium gangwonense	Uliginosibacterium gangwonense	100
GCA_000373985.1	Desulfobacter curvatus	--	Desulfobacter hydrogenophilus	Desulfobacter curvatus	99.9993
GCA_000374005.1	Kiloniella laminariae	--	Kiloniella laminariae	Kiloniella laminariae	99.9995
GCA_000374025.1	Spirosoma panaciterrae	Spirosoma aerolatum	Spirosoma panaciterrae	Spirosoma panaciterrae	99.9995
GCA_000374045.1	Segetibacter koreensis	--	Segetibacter koreensis	Segetibacter koreensis	100
GCA_000374065.1	Spirosoma luteum	Spirosoma pollinicola	Spirosoma luteum	Spirosoma luteum	99.9995
GCA_000374085.1	Spirosoma spitsbergense	--	Spirosoma spitsbergense	Spirosoma spitsbergense	99.9997
GCA_000374105.1	Kangiella aquimarina	Kangiella profundi	Kangiella aquimarina	Kangiella aquimarina	100
GCA_000374125.1	Niabella aurantiaca	Niabella soli	Niabella aurantiaca	Niabella aurantiaca	100
GCA_000374145.1	Neomegalonema perideroedes	--	Neomegalonema perideroedes	Neomegalonema perideroedes	100
GCA_000374285.1	Actinobacillus capsulatus	Actinobacillus equuli	Actinobacillus equuli	Actinobacillus capsulatus	100
GCA_000374305.1	Actinomadura flavalba	Actinomadura sp.	Actinomadura flavalba	Actinomadura flavalba	100
GCA_000374325.1	Allofustis seminis	Erysipelothrix rhusiopathiae	Allofustis seminis	Allofustis seminis	100
GCA_000374345.1	Bacillus acidiproducens	Bacillus coagulans	Bacillus acidiproducens	Bacillus acidiproducens	100
GCA_000374365.1	Bacteroides gallinarum	Paraprevotella xylaniphila	Bacteroides gallinarum	Bacteroides gallinarum	100
GCA_000374385.1	Brevibacillus laterosporus	Brevibacillus laterosporus	Brevibacillus laterosporus	Brevibacillus laterosporus	99.9997
GCA_000374405.1	Riemerella columbina	Parabacteroides distasonis	Riemerella columbina	Riemerella columbina	100
GCA_000374425.1	Acinetobacter tjernbergiae	Acinetobacter sp.	Acinetobacter tjernbergiae	Acinetobacter tjernbergiae	100
GCA_000374445.1	Actinokineospora enzanensis	Alloactinosynnema sp.	--	Actinokineospora enzanensis	100
GCA_000374465.1	Ahrensia kielensis	--	Ahrensia kielensis	Ahrensia kielensis	99.9998
GCA_000374485.1	Algicola sagamiensis	--	Algicola sagamiensis	Algicola sagamiensis	99.9998
GCA_000374505.1	Alistipes onderdonkii	Alistipes onderdonkii	Alistipes onderdonkii	Alistipes onderdonkii	100
GCA_000374525.1	Amorphus coralli	Stappia indica	Amorphus coralli	Amorphus coralli	100
GCA_000374545.1	Anaeromusa acidaminophila	--	Anaeroarcus burkinensis	Anaeromusa acidaminophila	99.9997
GCA_000374565.1	Bacillus fordii	Bacillus freudenreichii	Bacillus fordii	Bacillus fordii	99.9999
GCA_000374585.1	Bacteroides barnesiae	Bacteroides salanitronis	Bacteroides barnesiae	Bacteroides barnesiae	99.9997
GCA_000374605.1	Campylobacter ureolyticus	Campylobacter ureolyticus	Campylobacter ureolyticus	Campylobacter ureolyticus	100
GCA_000374625.1	Brachymonas chironomi	Acidovorax sp.	Brachymonas chironomi	Brachymonas chironomi	100
GCA_000374645.1	Arhodomonas aquaeolei	Spiribacter roseus	Arhodomonas aquaeolei	Arhodomonas aquaeolei	100
GCA_000374805.1	Chitiniphilus shinanonensis	Chitinolyticbacter meiyuanensis	Chitiniphilus shinanonensis	Chitiniphilus shinanonensis	100
GCA_000374825.1	Paenibacillus sanguinis	--	Paenibacillus sanguinis	Paenibacillus sanguinis	100
GCA_000374845.1	Paenibacillus terrigena	Paenibacillus guangzhouensis	Paenibacillus terrigena	Paenibacillus terrigena	100
GCA_000375345.1	Wohlfahrtiimonas chitiniclastica	--	Wohlfahrtiimonas chitiniclastica	Wohlfahrtiimonas chitiniclastica	100
GCA_000375365.1	Corynebacterium mastitidis	Corynebacterium frankenforstense	Corynebacterium mastitidis	Corynebacterium mastitidis	100
GCA_000375405.1	Bacteroides propionicifaciens	--	Bacteroides propionicifaciens	Bacteroides propionicifaciens	100
GCA_000375425.1	Gracilimonas tropica	--	Gracilimonas tropica	Gracilimonas tropica	100
GCA_000375445.1	Novosphingobium nitrogenifigens	Novosphingobium sp.	Novosphingobium nitrogenifigens	Novosphingobium nitrogenifigens	100
