accession	organism specise	kmerfinder(Com)	kmerfinder(Type)	fIDBAC	ANI(%)
NCTC10314	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella pneumoniae	99.0352
NCTC10344	Staphylococcus aureus	Staphylococcus aureus	Staphylococcus aureus	Staphylococcus aureus	99.066
NCTC10345	Staphylococcus aureus	Staphylococcus aureus	Staphylococcus aureus	Staphylococcus aureus	99.1089
NCTC10360	Plesiomonas shigelloides	Plesiomonas shigelloides	Plesiomonas shigelloides	Plesiomonas shigelloides	100
NCTC10361	Escherichia coli	Escherichia coli	Shigella sonnei	Shigella boydii	98.5924
NCTC10382	Pasteurella multocida	Pasteurella multocida	Pasteurella multocida	Pasteurella multocida	98.9147
NCTC10389	Streptococcus equinus	Streptococcus equinus	Streptococcus equinus	Streptococcus equinus	99.1432
NCTC10396	Edwardsiella tarda	Edwardsiella tarda	Edwardsiella tarda	Edwardsiella tarda	99.9837
NCTC10399	Staphylococcus aureus	Staphylococcus aureus	Staphylococcus aureus	Staphylococcus aureus	98.179
NCTC10418	Escherichia coli	Escherichia coli	Shigella sonnei	Escherichia coli	98.789
NCTC10429	Escherichia coli	Escherichia coli	Shigella sonnei	Escherichia coli	98.6829
NCTC10430	Escherichia coli	Escherichia coli	Escherichia coli	Escherichia coli	99.013
NCTC10442	Staphylococcus aureus	Staphylococcus aureus	Staphylococcus aureus	Staphylococcus aureus	99.8711
NCTC10443	Staphylococcus aureus	Staphylococcus aureus	Staphylococcus aureus	Staphylococcus aureus	99.8655
NCTC10444	Escherichia coli	Escherichia coli	Shigella sonnei	Escherichia coli	98.3061
NCTC10460	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica	99.5796
NCTC10487	Escherichia coli	Escherichia coli	Escherichia coli	Escherichia coli	98.3047
NCTC10517	Staphylococcus xylosus	Staphylococcus nepalensis	Staphylococcus nepalensis	Staphylococcus nepalensis	99.3634
NCTC10518	Staphylococcus warneri	Staphylococcus warneri	Staphylococcus warneri	Staphylococcus warneri	99.8037
NCTC10519	Staphylococcus epidermidis	Staphylococcus epidermidis	Staphylococcus epidermidis	Staphylococcus epidermidis	99.4827
NCTC10535	Pasteurella bettyae	Haemophilus influenzae	Pasteurella bettyae	Pasteurella bettyae	99.9928
NCTC10537	Escherichia coli	Escherichia coli	Shigella sonnei	Escherichia coli	99.0832
NCTC10538	Escherichia coli	Escherichia coli	Shigella sonnei	Escherichia coli	99.9932
NCTC10543	Bordetella bronchiseptica	Bordetella bronchiseptica	Bordetella bronchiseptica	Bordetella parapertussis	99.4192
NCTC10568	Actinobacillus lignieresii	Actinobacillus lignieresii	Actinobacillus lignieresii	Actinobacillus lignieresii	98.6421
NCTC10588	Elizabethkingia meningoseptica	Elizabethkingia anophelis	Elizabethkingia anophelis	Elizabethkingia anophelis	98.3959
NCTC10609	Mannheimia haemolytica	Mannheimia haemolytica	Mannheimia haemolytica	Mannheimia haemolytica	98.9715
NCTC10617	Neisseria lactamica	Neisseria lactamica	Neisseria lactamica	Neisseria lactamica	99.996
NCTC10618	Neisseria lactamica	Neisseria lactamica	Neisseria lactamica	Neisseria lactamica	97.8505
NCTC10619	Haemophilus haemoglobinophilus	Histophilus somni	Haemophilus haemoglobinophilus	Haemophilus haemoglobinophilus	98.8045
NCTC10638	Mannheimia haemolytica	Mannheimia haemolytica	--	Mannheimia haemolytica	99.0318
NCTC10649	Staphylococcus aureus	Staphylococcus aureus	Staphylococcus aureus	Staphylococcus aureus	98.1646
NCTC10650	Escherichia coli	Escherichia coli	Shigella sonnei	Escherichia coli	99.0105
NCTC10652	Staphylococcus aureus	Staphylococcus aureus	Staphylococcus aureus	Staphylococcus aureus	99.9155
NCTC10654	Staphylococcus aureus	Staphylococcus aureus	Staphylococcus aureus	Staphylococcus aureus	99.8605
NCTC10656	Staphylococcus aureus	Staphylococcus aureus	Staphylococcus aureus	Staphylococcus aureus	99.0196
NCTC10657	Staphylococcus aureus	Staphylococcus aureus	Staphylococcus aureus	Staphylococcus aureus	99.8667
NCTC10660	Neisseria elongata	Neisseria elongata	Neisseria elongata	Neisseria elongata	100
NCTC10662	Pseudomonas aeruginosa	Pseudomonas aeruginosa	Pseudomonas aeruginosa	Pseudomonas aeruginosa	98.6217
NCTC10664	Escherichia coli	Escherichia coli	Shigella sonnei	Escherichia coli	98.87
NCTC10671	Haemophilus paraphrohaemolyticus	Haemophilus parahaemolyticus	Haemophilus paraphrohaemolyticus	Haemophilus paraphrohaemolyticus	99.9861
NCTC10672	Haemophilus parainfluenzae	Haemophilus parainfluenzae	Haemophilus parainfluenzae	Haemophilus parainfluenzae	92.8223
NCTC10674	Escherichia coli	Escherichia coli	Shigella sonnei	Escherichia coli	99.5447
NCTC10692	Pseudomonas oleovorans	Pseudomonas oleovorans	Pseudomonas oleovorans	Pseudomonas oleovorans	100
NCTC10697	Pseudomonas taetrolens	Pseudomonas taetrolens	Pseudomonas taetrolens	Pseudomonas taetrolens	100
NCTC10699	Pasteurella mairii	Pasteurella aerogenes	Pasteurella mairii	Pasteurella mairii	100
NCTC10702	Staphylococcus aureus	Staphylococcus aureus	Staphylococcus aureus	Staphylococcus aureus	99.8124
NCTC10703	Staphylococcus aureus	Staphylococcus aureus	Staphylococcus aureus	Staphylococcus aureus	99.8689
NCTC10705	Salmonella enterica	Salmonella enterica	Salmonella enterica	Salmonella enterica	98.8604
NCTC10708	Streptococcus milleri	Streptococcus milleri	Streptococcus constellatus	Streptococcus constellatus	98.0047
NCTC10717	Suttonella indologenes	--	Suttonella indologenes	Suttonella indologenes	100
NCTC10722	Pasteurella multocida	Pasteurella multocida	--	Pasteurella multocida	98.8743
NCTC10723	Fusobacterium necrogenes	Fusobacterium mortiferum	--	Fusobacterium necrogenes	100
NCTC10724	Staphylococcus aureus	Staphylococcus aureus	Staphylococcus aureus	Staphylococcus aureus	99.8514
NCTC10727	Pseudomonas aeruginosa	Pseudomonas aeruginosa	Pseudomonas aeruginosa	Pseudomonas aeruginosa	98.8502
NCTC10730	Pseudomonas aeruginosa	Pseudomonas aeruginosa	Pseudomonas aeruginosa	Pseudomonas aeruginosa	99.3715
NCTC10731	Pseudomonas aeruginosa	Pseudomonas aeruginosa	Pseudomonas aeruginosa	Pseudomonas aeruginosa	99.3586
NCTC10736	Shewanella putrefaciens	Shewanella baltica	Shewanella baltica	Shewanella morhuae	98.4921
NCTC10737	Shewanella putrefaciens	Shewanella putrefaciens	Shewanella baltica	Shewanella baltica	96.8519
NCTC10757	Escherichia coli	Escherichia coli	--	Escherichia coli	97.8504
NCTC10758	Escherichia coli	Escherichia coli	Shigella sonnei	Escherichia coli	98.5714
NCTC10764	Escherichia coli	Escherichia coli	Shigella sonnei	Escherichia coli	98.1628
NCTC10766	Escherichia alkalescens	Escherichia coli	Escherichia coli	Escherichia coli	99.8097
NCTC10768	Citrobacter koseri	Citrobacter koseri	Citrobacter koseri	Citrobacter koseri	98.9576
NCTC10782	Pseudomonas aeruginosa	Pseudomonas aeruginosa	Pseudomonas aeruginosa	Pseudomonas aeruginosa	99.339
NCTC10786	Citrobacter koseri	Citrobacter koseri	Citrobacter koseri	Citrobacter koseri	99.8393
NCTC10788	Staphylococcus aureus	Staphylococcus aureus	Staphylococcus aureus	Staphylococcus aureus	99.0836
NCTC10794	Haemophilus parahaemolyticus	Haemophilus parahaemolyticus	Haemophilus parahaemolyticus	Haemophilus parahaemolyticus	96.3231
NCTC10796	Chryseobacterium indologenes	Chryseobacterium indologenes	Chryseobacterium indologenes	Chryseobacterium indologenes	100
NCTC10804	Staphylococcus aureus	Staphylococcus aureus	Staphylococcus aureus	Staphylococcus aureus	99.0746
NCTC10808	Achromobacter xylosoxidans	Achromobacter xylosoxidans	Achromobacter xylosoxidans	Achromobacter xylosoxidans	99.9153
NCTC10810	Citrobacter koseri	Citrobacter sp.	Citrobacter koseri	Citrobacter koseri	98.9362
NCTC10816	Jonesia denitrificans	Jonesia denitrificans	Jonesia denitrificans	Jonesia denitrificans	100
NCTC10832	Streptococcus mutans	Streptococcus mutans	Streptococcus mutans	Streptococcus mutans	99.0387
NCTC10833	Staphylococcus aureus	Staphylococcus aureus	Staphylococcus aureus	Staphylococcus aureus	99.8755
NCTC10839	Haemophilus haemolyticus	Haemophilus haemolyticus	Haemophilus influenzae	Haemophilus haemolyticus	95.6334
NCTC10848	Serratia rubidaea	Serratia rubidaea	Serratia rubidaea	Serratia rubidaea	92.6776
NCTC10850	Escherichia coli	Escherichia coli	Shigella sonnei	Escherichia coli	99.9871
NCTC10855	Escherichia aurescens	Escherichia coli	Shigella sonnei	Shigella boydii	98.1329
NCTC10860	Pseudomonas pseudoalcaligenes	Pseudomonas oleovorans	Pseudomonas oleovorans	Pseudomonas pseudoalcaligenes	100
NCTC10863	Escherichia coli	Shigella flexneri	Escherichia coli	Escherichia coli	98.696
NCTC10864	Escherichia coli	Escherichia coli	Shigella sonnei	Escherichia coli	99.1845
NCTC10865	Escherichia coli	Escherichia coli	Shigella sonnei	Escherichia coli	98.7103
NCTC10870	Streptococcus pyogenes	Streptococcus pyogenes	Streptococcus pyogenes	Streptococcus pyogenes	98.9978
NCTC10871	Streptococcus pyogenes	Streptococcus pyogenes	Streptococcus pyogenes	Streptococcus pyogenes	98.8323
NCTC10874	Streptococcus pyogenes	Streptococcus pyogenes	--	Streptococcus pyogenes	98.9526
NCTC10875	Streptococcus pyogenes	Streptococcus pyogenes	Streptococcus pyogenes	Streptococcus pyogenes	98.7748
NCTC10876	Streptococcus pyogenes	Streptococcus pyogenes	Streptococcus pyogenes	Streptococcus pyogenes	98.7571
NCTC10879	Streptococcus pyogenes	Streptococcus pyogenes	Streptococcus pyogenes	Streptococcus pyogenes	98.8428
NCTC10880	Streptococcus pyogenes	Streptococcus pyogenes	Streptococcus pyogenes	Streptococcus pyogenes	98.8959
NCTC10884	Vibrio parahaemolyticus	Vibrio parahaemolyticus	Vibrio parahaemolyticus	Vibrio parahaemolyticus	98.4833
NCTC10897	Pseudomonas mendocina	Pseudomonas mendocina	--	Pseudomonas mendocina	100
NCTC10899	Pseudomonas mendocina	Pseudomonas mendocina	Pseudomonas mendocina	Pseudomonas mendocina	98.13
NCTC10903	Vibrio parahaemolyticus	Vibrio parahaemolyticus	Vibrio parahaemolyticus	Vibrio parahaemolyticus	100
NCTC10904	Streptococcus sanguinis	Streptococcus sanguinis	Streptococcus sanguinis	Streptococcus sanguinis	94.4587
NCTC10905	Bordetella pertussis	Bordetella pertussis	--	Bordetella pertussis	99.9402
NCTC10907	Bordetella pertussis	Bordetella pertussis	Bordetella pertussis	Bordetella pertussis	99.9844
NCTC10908	Bordetella pertussis	Bordetella pertussis	Bordetella pertussis	Bordetella pertussis	99.9481
NCTC10911	Bordetella pertussis	--	Bordetella pertussis	Bordetella pertussis	99.9759
NCTC10921	Streptococcus sobrinus	Streptococcus sobrinus	Streptococcus sobrinus	Streptococcus sobrinus	99.0542
NCTC10923	Streptococcus mutans	Streptococcus mutans	Streptococcus mutans	Streptococcus mutans	98.8597
NCTC10928	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Neisseria meningitidis	Neisseria gonorrhoeae	99.6267
NCTC10931	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Neisseria meningitidis	Neisseria gonorrhoeae	99.5367
NCTC10936	Pseudomonas putida	Pseudomonas putida	Pseudomonas putida	Pseudomonas putida	100
NCTC10937	Pseudomonas lemoignei	Pseudomonas cichorii	Pseudomonas syringae	Paucimonas lemoignei	100
NCTC10938	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica	Yersinia enterocolitica	99.9606
NCTC10957	Escherichia coli	Escherichia coli	Escherichia coli	Escherichia coli	98.9598
NCTC10958	Escherichia coli	Escherichia coli	Shigella sonnei	Escherichia coli	98.5136
NCTC10959	Escherichia coli	Escherichia coli	Shigella sonnei	Escherichia coli	98.8335
NCTC10960	Escherichia coli	Escherichia coli	Shigella sonnei	Escherichia coli	98.8941
NCTC10961	Escherichia coli	Escherichia coli	Shigella sonnei	Escherichia coli	98.934
NCTC10962	Escherichia coli	--	Shigella sonnei	Escherichia coli	99.4041
NCTC10965	Shimwellia blattae	Shimwellia blattae	Shimwellia blattae	Shimwellia blattae	99.9991
NCTC10973	Escherichia coli	Escherichia coli	Shigella sonnei	Escherichia coli	99.6175
NCTC10974	Escherichia coli	Escherichia coli	Escherichia coli	Escherichia coli	98.2585
NCTC10988	Staphylococcus aureus	Staphylococcus aureus	Staphylococcus aureus	Staphylococcus aureus	99.8499
NCTC11022	Escherichia coli	Escherichia coli	Shigella sonnei	Escherichia coli	98.9125
NCTC11023	Escherichia coli	Escherichia coli	Shigella sonnei	Escherichia coli	99.2006
NCTC11030	Sphingomonas paucimobilis	Sphingomonas paucimobilis	Sphingomonas paucimobilis	Sphingomonas paucimobilis	100
NCTC11042	Staphylococcus haemolyticus	Staphylococcus haemolyticus	Staphylococcus haemolyticus	Staphylococcus haemolyticus	99.996
NCTC11044	Staphylococcus warneri	Staphylococcus warneri	Staphylococcus warneri	Staphylococcus warneri	99.9981
NCTC11045	Staphylococcus capitis	Staphylococcus capitis	Staphylococcus capitis	Staphylococcus capitis	99.9815
NCTC11047	Staphylococcus epidermidis	Staphylococcus epidermidis	Staphylococcus epidermidis	Staphylococcus epidermidis	99.9952
NCTC11067	Vibrio vulnificus	Vibrio vulnificus	Vibrio vulnificus	Vibrio vulnificus	95.5248
NCTC11074	Citrobacter koseri	Citrobacter koseri	Citrobacter koseri	Citrobacter koseri	98.8719
NCTC11075	Citrobacter koseri	Citrobacter koseri	Citrobacter koseri	Citrobacter koseri	98.9239
NCTC11076	Citrobacter koseri	Citrobacter koseri	Citrobacter koseri	Citrobacter koseri	98.8714
NCTC11077	Citrobacter koseri	Citrobacter koseri	Citrobacter koseri	Citrobacter koseri	98.8581
NCTC11080	Streptococcus agalactiae	Streptococcus agalactiae	Streptococcus agalactiae	Streptococcus agalactiae	99.6295
NCTC11086	Streptococcus sanguinis	Streptococcus sanguinis	Streptococcus sanguinis	Streptococcus sanguinis	95.3123
NCTC11096	Aggregatibacter aphrophilus	Aggregatibacter aphrophilus	Aggregatibacter aphrophilus	Aggregatibacter aphrophilus	98.2754
NCTC11100	Escherichia coli	Escherichia coli	Escherichia coli	Escherichia coli	98.988
NCTC11101	Escherichia coli	Escherichia coli	Escherichia coli	Escherichia coli	99.0912
NCTC11102	Escherichia coli	Escherichia coli	Shigella sonnei	Escherichia coli	99.0195
NCTC11103	Escherichia coli	Escherichia coli	Shigella sonnei	Escherichia coli	98.5963
NCTC11105	Escherichia coli	Escherichia coli	Shigella sonnei	Escherichia coli	99.1753
NCTC11106	Escherichia coli	Escherichia coli	Shigella sonnei	Escherichia coli	99.2435
NCTC11107	Escherichia coli	Escherichia coli	Shigella sonnei	Escherichia coli	98.6227
NCTC11108	Escherichia coli	Escherichia coli	Shigella sonnei	Escherichia coli	99.0113
NCTC11109	Escherichia coli	Escherichia coli	Shigella sonnei	Escherichia coli	99.083
NCTC11111	Escherichia coli	Escherichia coli	Shigella sonnei	Escherichia coli	98.2504
NCTC11112	Escherichia coli	Escherichia coli	Escherichia coli	Escherichia coli	98.0557
NCTC11113	Escherichia coli	Escherichia coli	Escherichia coli	Escherichia coli	98.7004
NCTC11114	Escherichia coli	Escherichia coli	Shigella sonnei	Escherichia coli	99.3609
NCTC11115	Escherichia coli	Escherichia coli	Shigella sonnei	Escherichia coli	98.3621
NCTC11116	Escherichia coli	Escherichia coli	Shigella sonnei	Escherichia coli	98.8256
NCTC11117	Escherichia coli	Escherichia coli	Shigella sonnei	Escherichia coli	98.8273
NCTC11118	Escherichia coli	Escherichia coli	Shigella sonnei	Escherichia coli	98.286
NCTC11119	Escherichia coli	Escherichia coli	Shigella sonnei	Escherichia coli	99.5977
NCTC11120	Escherichia coli	Escherichia coli	Escherichia coli	Escherichia coli	98.0182
NCTC11121	Escherichia coli	Escherichia coli	Shigella sonnei	Escherichia coli	99.1587
NCTC11122	Escherichia coli	Escherichia coli	Shigella sonnei	Escherichia coli	98.9793
NCTC11123	Escherichia coli	Escherichia coli	Shigella sonnei	Escherichia coli	98.8724
NCTC11124	Escherichia coli	Escherichia coli	Shigella sonnei	Escherichia coli	98.1177
NCTC11125	Escherichia coli	Escherichia coli	Shigella sonnei	Escherichia coli	98.7608
NCTC11127	Escherichia coli	Escherichia coli	Shigella sonnei	Escherichia coli	99.498
NCTC11128	Escherichia coli	Escherichia coli	Shigella sonnei	Escherichia coli	99.0421
NCTC11129	Escherichia coli	Escherichia coli	Shigella sonnei	Escherichia coli	98.9072
NCTC11130	Escherichia coli	Escherichia coli	Shigella sonnei	Escherichia coli	98.9861
NCTC11131	Escherichia coli	Escherichia coli	Shigella sonnei	Escherichia coli	98.8868
NCTC11132	Escherichia coli	Escherichia coli	Shigella sonnei	Escherichia coli	98.8816
NCTC11140	Corynebacterium renale	Corynebacterium renale	Corynebacterium renale	Corynebacterium renale	98.1963
NCTC11142	Corynebacterium renale	Corynebacterium renale	Corynebacterium renale	Corynebacterium renale	98.1812
NCTC11150	Staphylococcus aureus	Staphylococcus aureus	Staphylococcus aureus	Staphylococcus aureus	97.7311
NCTC11151	Escherichia coli	Escherichia coli	Escherichia coli	Escherichia coli	99.7399
NCTC11168	Campylobacter jejuni subsp. jejuni	Campylobacter jejuni	Campylobacter jejuni	Campylobacter jejuni	99.9985
NCTC11169	Streptococcus milleri	Streptococcus milleri	Streptococcus anginosus	Streptococcus anginosus	95.152
NCTC11181	Escherichia coli	Escherichia coli	Shigella sonnei	Shigella boydii	98.5705
NCTC11186	Escherichia coli	Escherichia coli	Shigella sonnei	Escherichia coli	99.9637
NCTC11189	Streptococcus viridans	Streptococcus mitis	Streptococcus gwangjuense	Streptococcus mitis	94.5447
NCTC11192	Legionella pneumophila	Legionella pneumophila	Legionella pneumophila	Legionella pneumophila	99.9999
NCTC11193	Legionella pneumophila	Legionella pneumophila	Legionella pneumophila	Legionella pneumophila	99.9888
NCTC11228	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella pneumoniae	98.9517
NCTC11230	Legionella pneumophila	Legionella pneumophila	Legionella pneumophila	Legionella pneumophila	98.7976
NCTC11242	Streptococcus agalactiae	Streptococcus agalactiae	Streptococcus agalactiae	Streptococcus agalactiae	99.2172
NCTC11290	Streptococcus acidominimus	Streptococcus pluranimalium	Streptococcus halotolerans	Streptococcus thoraltensis	82.3741
NCTC11320	Staphylococcus hominis	Staphylococcus hominis	Staphylococcus hominis	Staphylococcus hominis	99.9996
NCTC11327	Vibrio fluvialis	Vibrio fluvialis	Vibrio fluvialis	Vibrio fluvialis	99.9998
NCTC11341	Escherichia coli	Escherichia coli	Shigella sonnei	Shigella boydii	98.6978
NCTC11343	Sphingobacterium multivorum	Sphingobacterium sp.	Sphingobacterium multivorum	Sphingobacterium multivorum	100
NCTC11352	Campylobacter lari	Campylobacter lari	Campylobacter lari	Campylobacter lari	100
NCTC11360	Streptococcus agalactiae	Streptococcus agalactiae	Streptococcus agalactiae	Streptococcus agalactiae	99.1727
NCTC11366	Campylobacter coli	Campylobacter coli	Campylobacter coli	Campylobacter coli	100
NCTC11384	Actinobacillus pleuropneumoniae	Actinobacillus pleuropneumoniae	Actinobacillus pleuropneumoniae	Actinobacillus pleuropneumoniae	98.4985
NCTC11386	Sphingobacterium spiritivorum	Sphingobacterium daejeonense	Sphingobacterium spiritivorum	Sphingobacterium spiritivorum	100
NCTC11388	Sphingobacterium spiritivorum	Sphingobacterium sp.	Sphingobacterium spiritivorum	Sphingobacterium spiritivorum	94.4641
NCTC11394	Haemophilus influenzae	Haemophilus influenzae	Haemophilus influenzae	Haemophilus influenzae	97.9002
NCTC11404	Legionella pneumophila	Legionella pneumophila	Legionella pneumophila	Legionella pneumophila	97.052
NCTC11407	Actinobacillus pleuropneumoniae	Actinobacillus pleuropneumoniae	Actinobacillus pleuropneumoniae	Actinobacillus pleuropneumoniae	98.5247
NCTC11417	Legionella pneumophila	Legionella pneumophila	Legionella pneumophila	Legionella pneumophila	97.0158
NCTC11426	Haemophilus influenzae	Haemophilus influenzae	Haemophilus influenzae	Haemophilus influenzae	95.6154
NCTC11429	Sphingobacterium thalpophilum	Sphingobacterium thalpophilum	Sphingobacterium thalpophilum	Sphingobacterium thalpophilum	99.9951
NCTC11432	Chryseobacterium gleum	Chryseobacterium gleum	Chryseobacterium gleum	Chryseobacterium gleum	100
NCTC11434	Pluralibacter gergoviae	Pluralibacter gergoviae	Pluralibacter gergoviae	Pluralibacter gergoviae	99.9847
NCTC11435	Vibrio mimicus	Vibrio mimicus	Vibrio mimicus	Vibrio mimicus	100
NCTC11436	Streptococcus equinus	Streptococcus mutans	Streptococcus mutans	Streptococcus mutans	98.8597
NCTC11437	Campylobacter coli	Campylobacter coli	Campylobacter coli	Campylobacter coli	98.6968
NCTC11440	Pseudomonas aeruginosa	Pseudomonas aeruginosa	Pseudomonas aeruginosa	Pseudomonas aeruginosa	99.359
NCTC11445	Pseudomonas aeruginosa	Pseudomonas aeruginosa	Pseudomonas aeruginosa	Pseudomonas aeruginosa	99.3594
NCTC11446	Pseudomonas aeruginosa	Pseudomonas aeruginosa	Pseudomonas aeruginosa	Pseudomonas aeruginosa	99.3269
NCTC11447	Pseudomonas aeruginosa	Pseudomonas aeruginosa	Pseudomonas aeruginosa	Pseudomonas aeruginosa	98.8572
NCTC11448	Pseudomonas aeruginosa	Pseudomonas aeruginosa	Pseudomonas aeruginosa	Pseudomonas aeruginosa	99.3768
NCTC11449	Pseudomonas aeruginosa	Pseudomonas aeruginosa	Pseudomonas aeruginosa	Pseudomonas aeruginosa	98.7961
NCTC11450	Pseudomonas aeruginosa	Pseudomonas aeruginosa	Pseudomonas aeruginosa	Pseudomonas aeruginosa	99.3626
NCTC11452	Pseudomonas aeruginosa	Pseudomonas aeruginosa	Pseudomonas aeruginosa	Pseudomonas aeruginosa	98.1674
NCTC11466	Cedecea lapagei	Cedecea lapagei	Cedecea lapagei	Cedecea lapagei	99.996
NCTC11468	Tatumella ptyseos	Tatumella ptyseos	Tatumella ptyseos	Tatumella ptyseos	99.9872
NCTC11470	Yersinia frederiksenii	Yersinia frederiksenii	Yersinia frederiksenii	Yersinia frederiksenii	100
NCTC11472	Escherichia coli	Escherichia coli	Shigella sonnei	Escherichia coli	99.0109
NCTC11473	Escherichia coli	Escherichia coli	Shigella sonnei	Escherichia coli	99.535
NCTC11474	Escherichia coli	Escherichia coli	--	Escherichia coli	98.9717
NCTC11475	Escherichia coli	Escherichia coli	Shigella sonnei	Escherichia coli	99.532
NCTC11476	Escherichia coli	Escherichia coli	Shigella sonnei	Escherichia coli	99.0559
NCTC11477	Legionella longbeachae	Legionella oakridgensis	Legionella longbeachae	Legionella longbeachae	100
NCTC11531	Legionella oakridgensis	Legionella longbeachae	Legionella sainthelensi	Legionella oakridgensis	100
NCTC11532	Legionella wadsworthii	Legionella cherrii	Legionella wadsworthii	Legionella wadsworthii	100
NCTC11543	Serratia grimesii	Serratia proteamaculans	Serratia grimesii	Serratia grimesii	99.9988
NCTC11544	Serratia quinivorans	Serratia quinivorans	Serratia quinivorans	Serratia quinivorans	99.9888
NCTC11558	Streptococcus macacae	Streptococcus mutans	Streptococcus macacae	Streptococcus macacae	100
NCTC11561	Staphylococcus aureus	Staphylococcus aureus	Staphylococcus aureus	Staphylococcus aureus	97.6609
NCTC11564	Streptococcus equisimilis	Streptococcus dysgalactiae	Streptococcus dysgalactiae	Streptococcus dysgalactiae	95.58
NCTC11571	Enterobacter cloacae	Enterobacter cloacae	Enterobacter hormaechei	Enterobacter hormaechei	99.1266
NCTC11579	Enterobacter cloacae	Enterobacter hormaechei	Enterobacter hormaechei	Enterobacter hormaechei	99.0097
NCTC11588	Enterobacter cloacae	Enterobacter hormaechei	Enterobacter hormaechei	Enterobacter hormaechei	98.9801
NCTC11637	Helicobacter pylori	Helicobacter pylori	Helicobacter pylori	Helicobacter pylori	99.9991
NCTC11683	Klebsiella oxytoca	Klebsiella sp.	Klebsiella oxytoca	Klebsiella grimontii	99.3507
NCTC11686	Klebsiella oxytoca	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella pneumoniae	99.0541
NCTC11694	Klebsiella oxytoca	Klebsiella michiganensis	Klebsiella oxytoca	Klebsiella michiganensis	99.0651
NCTC11695	Klebsiella pneumoniae subsp. pneumoniae	Klebsiella variicola	Klebsiella variicola	Klebsiella variicola	99.0287
NCTC11696	Klebsiella oxytoca	Klebsiella oxytoca	Klebsiella oxytoca	Klebsiella oxytoca	99.4318
NCTC11800	Providencia stuartii	Providencia stuartii	Providencia stuartii	Providencia stuartii	99.9447
