accession	organism specise	kmerfinder(Com)	kmerfinder(Type)	fIDBAC	ANI(%)
GCA_001558395.2	Bordetella pertussis	Bordetella pertussis	Bordetella pertussis	Bordetella pertussis	99.9643
GCA_002083055.2	Borreliella burgdorferi	Borreliella burgdorferi	Borreliella burgdorferi	Borreliella burgdorferi	99.9607
GCA_002208825.2	Brevundimonas vesicularis	Brevundimonas vesicularis	Brevundimonas vesicularis	Brevundimonas vesicularis	99.4486
GCA_002591255.1	Brucella canis	Brucella melitensis	Brucella neotomae	Brucella canis	99.9996
GCA_002591785.1	Budvicia aquatica	Pragia sp.	Budvicia aquatica	Budvicia aquatica	99.961
GCA_002554435.1	Burkholderia ambifaria	Burkholderia ambifaria	Burkholderia ambifaria	Burkholderia ambifaria	99.9997
GCA_000783555.2	Burkholderia cenocepacia	Burkholderia cenocepacia	Burkholderia pyrrocinia	Burkholderia cenocepacia	95.2025
GCA_002891255.1	Burkholderia cenocepacia	Burkholderia cenocepacia	Burkholderia cenocepacia	Burkholderia cenocepacia	98.8603
GCA_002891135.1	Burkholderia cenocepacia	Burkholderia cenocepacia	Burkholderia cenocepacia	Burkholderia cenocepacia	99.9987
GCA_003938695.1	Burkholderia cenocepacia	--	Burkholderia cenocepacia	Burkholderia cenocepacia	98.9506
GCA_003938685.1	Burkholderia cenocepacia	Burkholderia cenocepacia	Burkholderia pyrrocinia	Burkholderia cenocepacia	95.0835
GCA_003940705.1	Burkholderia cenocepacia	Burkholderia cenocepacia	Burkholderia cenocepacia	Burkholderia cenocepacia	98.8669
GCA_002209085.2	Burkholderia cepacia	Burkholderia cepacia	Burkholderia cepacia	Burkholderia cepacia	99.9998
GCA_002407525.3	Burkholderia cepacia	Burkholderia cepacia	Burkholderia cepacia	Burkholderia cepacia	99.9996
GCA_003813045.1	Burkholderia dolosa	Burkholderia cepacia	Burkholderia stabilis	Burkholderia pyrrocinia	89.5581
GCA_003613595.1	Burkholderia gladioli	Burkholderia gladioli	Burkholderia gladioli	Burkholderia gladioli	99.9984
GCA_002393425.1	Burkholderia gladioli	Burkholderia gladioli	Burkholderia gladioli	Burkholderia gladioli	97.768
GCA_002554395.1	Burkholderia gladioli	Burkholderia gladioli	Burkholderia gladioli	Burkholderia gladioli	97.7451
GCA_002554225.1	Burkholderia gladioli	Burkholderia gladioli	Burkholderia gladioli	Burkholderia gladioli	97.8939
GCA_002206305.2	Burkholderia glumae	Burkholderia glumae	Burkholderia glumae	Burkholderia glumae	99.9995
GCA_003797295.1	Burkholderia mallei	Burkholderia mallei	Burkholderia mallei	Burkholderia mallei	99.9773
GCA_003797995.1	Burkholderia mallei	Burkholderia mallei	Burkholderia mallei	Burkholderia mallei	99.8753
GCA_003933015.1	Burkholderia mallei	Burkholderia mallei	Burkholderia mallei	Burkholderia mallei	99.9239
GCA_003933025.1	Burkholderia mallei	Burkholderia mallei	Burkholderia mallei	Burkholderia mallei	99.9366
GCA_003933035.1	Burkholderia mallei	Burkholderia mallei	Burkholderia mallei	Burkholderia mallei	99.9317
GCA_003933045.1	Burkholderia mallei	Burkholderia mallei	Burkholderia mallei	Burkholderia mallei	99.9987
GCA_003019965.1	Burkholderia multivorans	Burkholderia multivorans	Burkholderia multivorans	Burkholderia multivorans	99.9992
GCA_003938705.1	Burkholderia multivorans	Burkholderia multivorans	Burkholderia multivorans	Burkholderia multivorans	98.9206
GCA_003812965.1	Burkholderia multivorans	Burkholderia ubonensis	Pseudomonas mesoacidophila	Pseudomonas mesoacidophila	94.8207
GCA_003812585.1	Burkholderia multivorans	Burkholderia multivorans	Burkholderia multivorans	Burkholderia multivorans	97.0112
GCA_003812365.1	Burkholderia multivorans	Burkholderia multivorans	Burkholderia multivorans	Burkholderia multivorans	97.091
GCA_003798265.1	Burkholderia pseudomallei	Burkholderia pseudomallei	Burkholderia mallei	Burkholderia pseudomallei	99.8009
GCA_003798245.1	Burkholderia pseudomallei	Burkholderia pseudomallei	Burkholderia mallei	Burkholderia pseudomallei	99.5458
GCA_003798365.1	Burkholderia pseudomallei	Burkholderia pseudomallei	Burkholderia mallei	Burkholderia pseudomallei	99.5728
GCA_003852635.1	Burkholderia pseudomallei	Burkholderia pseudomallei	Burkholderia mallei	Burkholderia pseudomallei	99.3952
GCA_003614835.1	Burkholderia thailandensis	Burkholderia thailandensis	Burkholderia thailandensis	Burkholderia thailandensis	99.8531
GCA_003614815.1	Burkholderia thailandensis	Burkholderia thailandensis	Burkholderia thailandensis	Burkholderia thailandensis	99.8394
GCA_002386205.1	Burkholderia thailandensis	Burkholderia thailandensis	Burkholderia thailandensis	Burkholderia thailandensis	93.6585
GCA_002588555.1	Burkholderia thailandensis	Burkholderia thailandensis	Burkholderia thailandensis	Burkholderia thailandensis	99.9991
GCA_002891115.1	Burkholderia thailandensis	Burkholderia thailandensis	Burkholderia thailandensis	Burkholderia thailandensis	99.9992
GCA_002891095.1	Burkholderia thailandensis	Burkholderia thailandensis	Burkholderia thailandensis	Burkholderia thailandensis	99.8624
GCA_002891195.1	Burkholderia thailandensis	Burkholderia thailandensis	Burkholderia thailandensis	Burkholderia thailandensis	99.9996
GCA_002891155.1	Burkholderia thailandensis	Burkholderia thailandensis	Burkholderia thailandensis	Burkholderia thailandensis	99.0339
GCA_003020025.1	Burkholderia thailandensis	Burkholderia thailandensis	Burkholderia thailandensis	Burkholderia thailandensis	99.8392
GCA_003020185.1	Burkholderia thailandensis	Burkholderia thailandensis	Burkholderia thailandensis	Burkholderia thailandensis	99.0268
GCA_003019945.1	Burkholderia vietnamiensis	Burkholderia vietnamiensis	Burkholderia vietnamiensis	Burkholderia vietnamiensis	99.9996
GCA_002082995.2	Campylobacter jejuni	Campylobacter jejuni	--	Campylobacter jejuni	98.8542
GCA_002983725.1	Campylobacter jejuni	Campylobacter jejuni	Campylobacter jejuni	Campylobacter jejuni	98.864
GCA_002587225.1	Campylobacter jejuni	Campylobacter jejuni	Campylobacter jejuni	Campylobacter jejuni	98.3431
GCA_002587105.1	Campylobacter jejuni	Campylobacter jejuni	Campylobacter jejuni	Campylobacter jejuni	99.5076
GCA_002209065.1	Campylobacter jejuni	Campylobacter jejuni	Campylobacter jejuni	Campylobacter jejuni	97.7496
GCA_002209045.1	Campylobacter jejuni	Campylobacter jejuni	Campylobacter jejuni	Campylobacter jejuni	98.9141
GCA_002209025.1	Campylobacter jejuni	Campylobacter jejuni	Campylobacter jejuni	Campylobacter jejuni	99.9989
GCA_002209005.1	Campylobacter jejuni	Campylobacter jejuni	Campylobacter jejuni	Campylobacter jejuni	99.9951
GCA_002393445.1	Cedecea neteri	Cedecea neteri	Cedecea lapagei	Cedecea neteri	99.9572
GCA_003812705.1	Chryseobacterium arthrosphaerae	Chryseobacterium arthrosphaerae	Chryseobacterium arthrosphaerae	Chryseobacterium arthrosphaerae	98.5257
GCA_002208925.2	Chryseobacterium indologenes	Chryseobacterium indologenes	Chryseobacterium indologenes	Chryseobacterium indologenes	99.0592
GCA_002591275.1	Chryseobacterium indologenes	Chryseobacterium indologenes	Chryseobacterium indologenes	Chryseobacterium indologenes	99.108
GCA_003812865.1	Chryseobacterium indologenes	Chryseobacterium indologenes	Chryseobacterium indologenes	Chryseobacterium indologenes	99.0788
GCA_003812605.1	Chryseobacterium indologenes	Chryseobacterium indologenes	Chryseobacterium indologenes	Chryseobacterium indologenes	99.1434
GCA_003938795.1	Citrobacter amalonaticus	Citrobacter sp.	Citrobacter amalonaticus	Citrobacter amalonaticus	98.854
GCA_001471655.2	Citrobacter amalonaticus	Citrobacter sp.	Citrobacter amalonaticus	Citrobacter amalonaticus	98.568
GCA_001558935.2	Citrobacter amalonaticus	Citrobacter amalonaticus	Citrobacter amalonaticus	Citrobacter amalonaticus	99.6077
GCA_001559075.2	Citrobacter amalonaticus	Citrobacter amalonaticus	Citrobacter amalonaticus	Citrobacter amalonaticus	95.269
GCA_002073755.2	Citrobacter braakii	Citrobacter braakii	Citrobacter freundii	Citrobacter braakii	93.2939
GCA_002208845.2	Citrobacter braakii	Citrobacter braakii	Citrobacter freundii	Citrobacter braakii	98.6803
GCA_000783995.2	Citrobacter freundii	Citrobacter freundii	Citrobacter freundii	Citrobacter braakii	93.1904
GCA_000783755.2	Citrobacter freundii	Citrobacter freundii	Citrobacter freundii	Citrobacter freundii	98.4464
GCA_003812345.1	Citrobacter freundii	Citrobacter freundii	Citrobacter freundii	Citrobacter freundii	98.8807
GCA_003812325.1	Citrobacter freundii	Citrobacter freundii	Citrobacter freundii	Citrobacter freundii	98.8939
GCA_003812405.1	Citrobacter koseri	Citrobacter koseri	Citrobacter koseri	Citrobacter koseri	98.963
GCA_003938785.1	Citrobacter koseri	Citrobacter koseri	Citrobacter koseri	Citrobacter koseri	98.8227
GCA_001471775.2	Citrobacter koseri	Citrobacter koseri	Citrobacter koseri	Citrobacter koseri	98.8567
GCA_000783445.2	Citrobacter koseri	Citrobacter koseri	Citrobacter koseri	Citrobacter koseri	100
GCA_002208985.3	Citrobacter koseri	Citrobacter koseri	Citrobacter koseri	Citrobacter koseri	98.8556
GCA_002393245.1	Citrobacter koseri	Citrobacter koseri	Citrobacter koseri	Citrobacter koseri	98.8396
GCA_002386385.1	Citrobacter werkmanii	Citrobacter werkmanii	Citrobacter youngae	Citrobacter youngae	86.985
GCA_002082985.2	Clostridioides difficile	Clostridioides difficile	Clostridioides difficile	Peptoclostridium difficile	99.4068
GCA_002082945.2	Clostridioides difficile	Clostridioides difficile	Clostridioides difficile	Peptoclostridium difficile	99.9972
GCA_002073735.2	Clostridioides difficile	Clostridioides difficile	--	Peptoclostridium difficile	99.9889
GCA_002588205.1	Clostridium sporogenes	Clostridium sporogenes	--	Clostridium sporogenes	99.2773
GCA_002554425.1	Comamonas terrigena	Delftia tsuruhatensis	Comamonas terrigena	Comamonas terrigena	99.9968
GCA_002073375.2	Corynebacterium diphtheriae	Corynebacterium diphtheriae	Corynebacterium diphtheriae	Corynebacterium diphtheriae	98.171
GCA_002209185.2	Corynebacterium jeikeium	Corynebacterium jeikeium	--	Corynebacterium lactis	79.7522
GCA_003955985.1	Corynebacterium jeikeium	Corynebacterium jeikeium	Corynebacterium lactis	Corynebacterium lactis	79.6214
GCA_003854935.1	Cupriavidus pauculus	Cupriavidus pauculus	Cupriavidus nantongensis	Cupriavidus pauculus	84.5458
GCA_003798465.1	Cutibacterium acnes	Cutibacterium acnes	Cutibacterium acnes	Cutibacterium acnes	99.7613
GCA_003812785.1	Cutibacterium acnes	Cutibacterium acnes	Cutibacterium acnes	Cutibacterium acnes	99.9771
GCA_002554415.1	Edwardsiella tarda	Edwardsiella tarda	Edwardsiella tarda	Edwardsiella tarda	99.2903
GCA_002951395.1	Elizabethkingia anophelis	Elizabethkingia anophelis	Elizabethkingia anophelis	Elizabethkingia anophelis	98.3208
GCA_002951455.1	Elizabethkingia anophelis	Elizabethkingia anophelis	Elizabethkingia anophelis	Elizabethkingia anophelis	98.311
GCA_002277995.2	Elizabethkingia anophelis	Elizabethkingia anophelis	Elizabethkingia anophelis	Elizabethkingia anophelis	98.2441
GCA_002891235.1	Enterobacter cancerogenus	Enterobacter cancerogenus	Enterobacter cancerogenus	Enterobacter cancerogenus	98.825
GCA_000783675.2	Enterobacter cloacae	Enterobacter cloacae	Enterobacter asburiae	Enterobacter asburiae	97.4235
GCA_000783835.2	Enterobacter hormaechei	Enterobacter cloacae	Enterobacter hormaechei	Enterobacter hormaechei	98.7872
GCA_002206155.2	Enterobacter hormaechei	Enterobacter chengduensis	Enterobacter chengduensis	Enterobacter chengduensis	95.6423
GCA_000783855.2	Enterobacter hormaechei	Enterobacter cloacae	Enterobacter hormaechei	Enterobacter hormaechei	99.16
GCA_003812145.1	Enterobacter roggenkampii	Enterobacter roggenkampii	Enterobacter roggenkampii	Enterobacter roggenkampii	98.2519
GCA_002891055.1	Enterococcus avium	Enterococcus avium	Enterococcus avium	Enterococcus avium	97.9259
GCA_002891025.1	Enterococcus avium	Enterococcus avium	Enterococcus avium	Enterococcus avium	98.5428
GCA_002554315.1	Enterococcus durans	Enterococcus durans	Enterococcus faecium	Enterococcus durans	99.8476
GCA_002206315.2	Enterococcus faecalis	Enterococcus faecalis	Enterococcus faecalis	Enterococcus faecalis	98.9873
GCA_002206445.2	Enterococcus faecalis	Enterococcus faecalis	Enterococcus faecalis	Enterococcus faecalis	98.7964
GCA_002206545.2	Enterococcus faecalis	Enterococcus faecalis	Enterococcus faecalis	Enterococcus faecalis	98.1859
GCA_003030425.1	Enterococcus faecalis	Enterococcus faecalis	Enterococcus faecalis	Enterococcus faecalis	98.8304
GCA_002208945.2	Enterococcus faecalis	Enterococcus faecalis	Enterococcus faecalis	Enterococcus faecalis	98.8385
GCA_003812665.1	Enterococcus faecalis	Enterococcus faecalis	Enterococcus faecalis	Enterococcus faecalis	98.8387
GCA_002554355.1	Enterococcus faecium	Enterococcus faecium	Enterococcus faecium	Enterococcus faecium	94.3304
GCA_002557625.1	Enterococcus faecium	Enterococcus faecium	Enterococcus faecium	Enterococcus faecium	99.01
GCA_002983785.1	Enterococcus faecium	--	Enterococcus faecium	Enterococcus faecium	99.5655
GCA_002206235.2	Enterococcus faecium	Enterococcus faecium	Enterococcus faecium	Enterococcus faecium	99.4077
GCA_001471295.2	Enterococcus faecium	Enterococcus faecium	Enterococcus faecium	Enterococcus faecium	99.3215
GCA_002891275.1	Enterococcus faecium	Enterococcus faecium	Enterococcus faecium	Enterococcus faecium	99.2842
GCA_002891175.1	Enterococcus faecium	Enterococcus faecium	Enterococcus faecium	Enterococcus faecium	99.4627
GCA_001558875.2	Enterococcus gallinarum	Enterococcus gallinarum	Enterococcus casseliflavus	Enterococcus casseliflavus	94.8635
GCA_002278015.2	Enterococcus hirae	Enterococcus hirae	--	Enterococcus hirae	98.859
GCA_002208865.2	Escherichia coli	Escherichia coli	--	Escherichia coli	99.903
GCA_002983645.1	Escherichia coli	Escherichia coli	Shigella sonnei	Escherichia coli	99.9923
GCA_002209105.2	Escherichia coli	Escherichia coli	Shigella sonnei	Escherichia coli	99.9627
GCA_001563715.2	Escherichia coli	Escherichia coli	Shigella sonnei	Escherichia coli	98.6175
GCA_002944935.1	Escherichia coli	Escherichia coli	Escherichia coli	Escherichia coli	98.5955
GCA_001471755.2	Escherichia coli	Escherichia coli	Escherichia coli	Escherichia coli	98.9253
GCA_002206405.2	Escherichia coli	Escherichia coli	Shigella sonnei	Escherichia coli	99.967
GCA_001188105.2	Escherichia coli	Escherichia coli	Shigella sonnei	Escherichia coli	99.4795
GCA_001471815.2	Escherichia coli	Escherichia coli	Escherichia coli	Escherichia coli	98.3453
GCA_002554325.1	Escherichia coli	Escherichia coli	Shigella sonnei	Escherichia coli	99.9807
GCA_002554485.1	Escherichia coli	Escherichia coli	Shigella sonnei	Escherichia coli	99.9935
GCA_002554475.1	Escherichia coli	Escherichia coli	Shigella sonnei	Escherichia coli	99.9843
GCA_002554675.1	Escherichia coli	Escherichia coli	Shigella sonnei	Escherichia coli	99.9911
GCA_002634895.1	Escherichia coli	Escherichia coli	--	Escherichia coli	99.4126
GCA_002591135.1	Escherichia coli	Escherichia coli	Escherichia coli	Escherichia coli	98.2318
GCA_002589795.1	Escherichia coli	Escherichia coli	Shigella sonnei	Escherichia coli	98.6325
GCA_002588385.1	Escherichia coli	Escherichia coli	Shigella sonnei	Escherichia coli	99.0011
GCA_002588135.1	Escherichia coli	Escherichia coli	Shigella sonnei	Escherichia coli	98.8923
GCA_002588125.1	Escherichia coli	Escherichia coli	Escherichia coli	Escherichia coli	98.3454
GCA_002393365.1	Escherichia coli	Escherichia coli	Shigella sonnei	Escherichia coli	99.9934
GCA_002393465.1	Escherichia coli	Escherichia coli	Shigella sonnei	Escherichia coli	99.9648
GCA_003937765.1	Escherichia coli	Escherichia coli	Escherichia coli	Escherichia coli	98.2197
GCA_003937705.1	Escherichia coli	Escherichia coli	Shigella sonnei	Escherichia coli	98.9966
GCA_003938885.1	Escherichia coli	Escherichia coli	Shigella sonnei	Escherichia coli	99.0274
GCA_003938635.1	Escherichia coli	Escherichia coli	Escherichia coli	Escherichia coli	98.3654
GCA_003940725.1	Escherichia coli	Escherichia coli	Shigella sonnei	Escherichia coli	99.25
GCA_003812625.1	Escherichia coli	Escherichia coli	Escherichia coli	Escherichia coli	98.8145
GCA_003812945.1	Escherichia coli	Escherichia coli	Escherichia coli	Escherichia coli	98.2574
GCA_003955815.1	Francisella tularensis	Francisella tularensis	Francisella tularensis	Francisella tularensis	99.3669
GCA_003955795.1	Francisella tularensis	Francisella tularensis	Francisella tularensis	Francisella tularensis	99.354
GCA_003955775.1	Francisella tularensis	Francisella tularensis	Francisella tularensis	Francisella tularensis	99.3651
GCA_003797955.1	Francisella tularensis	Francisella tularensis	Francisella tularensis	Francisella tularensis	99.9901
GCA_003798065.1	Francisella tularensis	Francisella tularensis	Francisella tularensis	Francisella tularensis	99.9879
GCA_003798025.1	Francisella tularensis	Francisella tularensis	Francisella tularensis	Francisella tularensis	99.989
GCA_002082235.2	Francisella tularensis	Francisella tularensis	Francisella tularensis	Francisella tularensis	99.9983
GCA_003812825.1	Fusobacterium necrophorum	Fusobacterium necrophorum	Fusobacterium necrophorum	Fusobacterium necrophorum	99.96
GCA_002206225.2	Gardnerella vaginalis	Gardnerella vaginalis	Gardnerella vaginalis	Gardnerella vaginalis	98.737
GCA_003812765.1	Gardnerella vaginalis	Gardnerella vaginalis	Gardnerella vaginalis	Gardnerella vaginalis	98.7506
GCA_001558255.2	Grimontia hollisae	Grimontia hollisae	Grimontia hollisae	Grimontia hollisae	100
GCA_002073475.2	Haemophilus influenzae	Haemophilus influenzae	Haemophilus influenzae	Haemophilus influenzae	99.9643
GCA_002206365.2	Hafnia alvei	Hafnia alvei	--	Hafnia alvei	95.7014
GCA_002313145.2	Hafnia paralvei	--	Hafnia alvei	Hafnia paralvei	99.0162
GCA_001559255.2	Hafnia paralvei	Hafnia paralvei	Hafnia alvei	Hafnia paralvei	99.2071
GCA_002206465.2	Helicobacter pylori	Helicobacter pylori	Helicobacter pylori	Helicobacter pylori	99.9898
GCA_002983705.1	Helicobacter pylori	Helicobacter pylori	Helicobacter pylori	Helicobacter pylori	94.8875
GCA_003050665.1	Helicobacter pylori	Helicobacter pylori	Helicobacter pylori	Helicobacter pylori	99.9988
GCA_002209145.2	Jonesia denitrificans	Jonesia denitrificans	Jonesia denitrificans	Jonesia denitrificans	99.9998
GCA_003546885.1	Klebsiella aerogenes	Klebsiella aerogenes	Klebsiella aerogenes	Klebsiella aerogenes	98.6053
GCA_003812185.1	Klebsiella aerogenes	Klebsiella aerogenes	Klebsiella aerogenes	Klebsiella aerogenes	98.668
GCA_002591115.1	Klebsiella aerogenes	Klebsiella aerogenes	Klebsiella aerogenes	Klebsiella aerogenes	98.5965
GCA_001593585.2	Klebsiella aerogenes	Klebsiella aerogenes	Klebsiella aerogenes	Klebsiella aerogenes	98.6443
GCA_001559215.2	Klebsiella aerogenes	Klebsiella aerogenes	Klebsiella aerogenes	Klebsiella aerogenes	98.6257
GCA_002891215.1	Klebsiella aerogenes	Klebsiella aerogenes	Klebsiella aerogenes	Klebsiella aerogenes	98.5955
GCA_000783895.2	Klebsiella michiganensis	Klebsiella michiganensis	Klebsiella oxytoca	Klebsiella michiganensis	98.4558
GCA_002984395.1	Klebsiella oxytoca	Klebsiella oxytoca	Klebsiella oxytoca	Klebsiella oxytoca	99.0033
GCA_002588345.1	Klebsiella oxytoca	Klebsiella oxytoca	Klebsiella oxytoca	Klebsiella oxytoca	99.2506
GCA_003812925.1	Klebsiella oxytoca	Klebsiella oxytoca	Klebsiella oxytoca	Klebsiella oxytoca	99.3905
GCA_003940465.1	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella pneumoniae	98.8685
GCA_003812105.1	Klebsiella pneumoniae	--	Klebsiella pneumoniae	Klebsiella pneumoniae	99.0263
GCA_003812085.1	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella pneumoniae	98.9835
GCA_002588365.1	Klebsiella pneumoniae	--	Klebsiella pneumoniae	Klebsiella pneumoniae	99.1148
GCA_002587885.1	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella pneumoniae	99.6777
GCA_002587165.1	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella pneumoniae	99.6961
GCA_002591075.1	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella pneumoniae	98.929
GCA_002636515.1	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella pneumoniae	99.7311
GCA_002636375.1	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella pneumoniae	99.024
GCA_002636215.1	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella pneumoniae	99.068
GCA_002636095.1	Klebsiella pneumoniae	Klebsiella pneumoniae	--	Klebsiella pneumoniae	99.6395
GCA_002635725.1	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella pneumoniae	99.0003
GCA_002386225.2	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella pneumoniae	99.7249
GCA_001471835.2	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella pneumoniae	99.8753
GCA_000783515.2	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella pneumoniae	99.0524
GCA_001471625.2	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella pneumoniae	99.9403
GCA_001534855.2	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella pneumoniae	98.8069
GCA_002951635.1	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella pneumoniae	99.0704
GCA_002953295.1	Klebsiella quasipneumoniae	Klebsiella quasipneumoniae	Klebsiella variicola	Klebsiella quasipneumoniae	99.2902
GCA_002208685.2	Kocuria rhizophila	Kocuria rhizophila	Kocuria rosea	Kocuria rhizophila	89.8485
GCA_002588255.1	Leclercia adecarboxylata	Leclercia adecarboxylata	Leclercia adecarboxylata	Leclercia adecarboxylata	99.9876
GCA_002082905.2	Legionella anisa	Legionella cherrii	Legionella anisa	Legionella anisa	99.9816
GCA_002073455.2	Legionella longbeachae	Legionella longbeachae	Legionella sainthelensi	Legionella longbeachae	99.9915
GCA_002082955.2	Legionella pneumophila	Legionella pneumophila	Legionella pneumophila	Legionella pneumophila	99.9903
GCA_002393405.1	Lelliottia amnigena	Lelliottia amnigena	Lelliottia amnigena	Lelliottia amnigena	99.996
GCA_002073495.2	Leptospira interrogans	Leptospira interrogans	Leptospira interrogans	Leptospira interrogans	99.9786
GCA_003812565.1	Listeria monocytogenes	Listeria monocytogenes	Listeria monocytogenes	Listeria monocytogenes	93.8743
GCA_003812545.1	Listeria monocytogenes	Listeria monocytogenes	Listeria monocytogenes	Listeria monocytogenes	99.1237
GCA_002557645.1	Listeria monocytogenes	Listeria monocytogenes	Listeria monocytogenes	Listeria monocytogenes	99.01
GCA_002206565.2	Listeria monocytogenes	Listeria monocytogenes	Listeria monocytogenes	Listeria monocytogenes	95.0997
GCA_001188025.2	Listeria monocytogenes	Listeria monocytogenes	Listeria monocytogenes	Listeria monocytogenes	95.0585
GCA_001188045.1	Listeria monocytogenes	Listeria monocytogenes	Listeria monocytogenes	Listeria monocytogenes	95.1635
GCA_002554275.1	Micrococcus luteus	Micrococcus luteus	Micrococcus luteus	Micrococcus luteus	97.237
GCA_002206485.2	Mobiluncus mulieris	Mobiluncus curtisii	Mobiluncus mulieris	Mobiluncus mulieris	99.1683
GCA_002984125.1	Moraxella catarrhalis	Moraxella catarrhalis	Moraxella catarrhalis	Moraxella catarrhalis	99.3168
GCA_002073215.2	Moraxella catarrhalis	Moraxella catarrhalis	Moraxella catarrhalis	Moraxella catarrhalis	99.9999
GCA_001558895.2	Morganella morganii	Morganella morganii	Morganella morganii	Morganella morganii	98.8255
